微博内容,创建时间,微博来源,微博地址,用户昵称,粉丝数,性别,地域,认证类型,是否转发,原微博内容,原微博来源,原微博创建时间,原微博用户昵称,原微博地址
白百合 瞬间秒杀了一切…说明大伙还是最爱男人女人那些事，够八卦[呲牙] ?,2017-04-12 13:54,iPhone SE,http://weibo.com/1678215552/EE9Oqs8EZ,刘瑶,84579,女,上海 黄浦区,普通用户,原创,,,,,
白百合人品和名字完全不符合[二哈][二哈][二哈]#白百合出轨#,2017-04-12 13:54,iPhone 6s Plus,http://weibo.com/1681846214/EE9Or2l1G,睡前文学,45713,女,海外 法国,普通用户,转发,这样的姑娘才是男人的解药！ ?,前置双摄vivo X9,2017-04-10 12:29,睡前文学,http://weibo.com/1681846214/EDQphvR9D
失恋33天剧组要火了[笑cry][笑cry],2017-04-12 13:53,微博 weibo.com,http://weibo.com/2794665971/EE9NYFaXw,好奇博士,2312020,男,山西 临汾,名人认证,转发,按照目前形势发展下去的话，接下来公关公司即将发布白百合离婚声明，如果没发，那么陈羽凡即将发声: 我们全家人决定原谅这个敢于承担知错就改的好女人，感谢网友关心，我们一家人风雨同舟。 ? http://t.cn/RXwa2jU . ?,秒拍网页版,2017-04-12 13:48,娱美人儿,http://weibo.com/5152304485/EE9LYgY2b
有毒啊[二哈],2017-04-12 13:53,微博 weibo.com,http://weibo.com/2396658275/EE9OdrAMG,趣闻搞笑,29109079,男,山东,名人认证,转发,按照目前形势发展下去的话，接下来公关公司即将发布白百合离婚声明，如果没发，那么陈羽凡即将发声: 我们全家人决定原谅这个敢于承担知错就改的好女人，感谢网友关心，我们一家人风雨同舟。 ? http://t.cn/RXwa2jU . ?,秒拍网页版,2017-04-12 13:48,娱美人儿,http://weibo.com/5152304485/EE9LYgY2b
【卓伟】【白百何】【陈羽凡】三爆热搜！[傻眼]今日，白百何被卓伟团队独家爆料，三人被网友接连猛搜，相继爆掉热搜榜！卓伟爆料称，白百合与某小鲜肉同游泰国，两人在泳池边戏水动作十分亲密，某些画面实在尴尬辣眼。在娱乐圈中，白百何和陈羽凡一直是模范夫妻，现在闹这么一出究竟有何内幕？[思考]快...全文： http://m.weibo.cn/2728691540/4095708053192648 ?,2017-04-12 13:52,Weibo.intl,http://weibo.com/2728691540/EE9NPdoyk,综艺boom,303403,女,海外 美国,名人认证,原创,,,,,
文章，马伊琍，姚笛，白百何，陈羽凡，张子萱……《失恋33天》真是一个有毒的剧组[doge],2017-04-12 13:52,微博 weibo.com,http://weibo.com/3238094084/EE9NBjAFc,小奇趣摘,22291898,女,山东,名人认证,转发,按照目前形势发展下去的话，接下来公关公司即将发布白百合离婚声明，如果没发，那么陈羽凡即将发声: 我们全家人决定原谅这个敢于承担知错就改的好女人，感谢网友关心，我们一家人风雨同舟。 ? http://t.cn/RXwa2jU . ?,秒拍网页版,2017-04-12 13:48,娱美人儿,http://weibo.com/5152304485/EE9LYgY2b
白百合出轨，陈羽凡微博评论深陷一片绿色中。[微风][微风][微风][微风][微风][微风][微风][微风][微风][微风][绿丝带][绿丝带][绿丝带][绿丝带][绿丝带][绿丝带][绿丝带][绿丝带][绿丝带][绿丝带][绿丝带]  ?,2017-04-12 13:50,三星 Galaxy S7 Edge,http://weibo.com/1653147142/EE9MZtWVb,吃喝玩乐哈尔滨,85408,男,黑龙江 哈尔滨,名人认证,原创,,,,,
白百合这事儿太无聊了。而且我觉得她不像马伊琍和孙俪，也不卖完美婚姻的人设，出个轨，偷个情根本不算什么啊，国内的道德观，现在基本被八卦媒体控制了，一律清教徒化，或者说，街道大妈化。而事实上，八卦媒体是毫无节操的，不过是可以买卖的赃物流通站。 ?,2017-04-12 13:50,iPhone 6 Plus,http://weibo.com/1498075523/EE9MSa9DG,王恺同学,76411,男,北京 朝阳区,名人认证,原创,,,,,
关于卓伟爆白百合这事，网友指出正确的姿势:先去白百何微博骂，再去陈羽凡微博表同情，又去文章和姚笛微博骂，再去马伊琍微博表同情，接着去张子萱微博骂，顺带再去陈赫微博骂，然后去许婧微博表同情，然去王珞丹微博恭喜……最后表示下抵制萨德http://t.cn/RXwIcYw . ?,2017-04-12 13:50,HUAWEI Mate 8,http://weibo.com/2150616260/EE9MQE4hH,醒来的大鸦,54630,男,其他,名人认证,原创,,,,,
卓伟爆#白百何# 疑似出轨 泰国约会神秘男泳池戏水#卓伟爆白百合出轨# http://t.cn/RXwafj9 . ?,2017-04-12 13:49,秒拍网页版,http://weibo.com/2053975695/EE9MDEgL2,全球精华搜罗,1883879,男,广东,名人认证,原创,,,,,
