微博内容,创建时间,微博来源,微博地址,用户昵称,粉丝数,性别,地域,认证类型,是否转发,原微博内容,原微博来源,原微博创建时间,原微博用户昵称,原微博地址
【商务部回应“乐天”事件：外企在华经营须依法合规】针对韩国军方与乐天集团签署部署“萨德”换地协议一事，商务部新闻发言人孙继文2日表示，中方对此坚决反对。中国欢迎包括韩国企业在内的外企来华投资，但前提是其在华经营必须依法合规。http://t.cn/Rixq438 ​,2017-03-02 20:32,微博 weibo.com,http://weibo.com/1787920531/ExXTB7RVT,新华社中国网事,9980190,男,北京 西城区,媒体认证,原创,,,,,
【这样的乐天我们不欢迎！】http://t.cn/RixKtuy ​,2017-03-02 20:30,微博 weibo.com,http://weibo.com/1704819467/ExXSMxc63,经济之声,13210792,男,北京 西城区,媒体认证,原创,,,,,
【民族的终归是民族的 “辣条界扛把子”宣布退出乐天超市】有网友爆料：武汉乐天玛特内卫龙辣条全部撤柜，“一根辣条都不给乐天留”。@卫龙食品 1日称，传闻除地点有误外其他均属实，目前已撤架的乐天玛特为江苏盐城，不过全国范围乐天玛特渠道已按程序陆续下架，今后将不再与乐天合作。 ​​​​,2017-03-02 20:30,360安全浏览器,http://weibo.com/1703371307/ExXSMfxLs,北京晚报,10419319,男,北京,媒体认证,原创,,,,,
【乐天决定为“萨德”供地，国内独家合作伙伴京东情何以堪？】据韩联社网站报道，乐天董事会决定为驻韩美军提供部署“萨德”反导系统用地。若韩军与乐天于28日许签署易地协议，“萨德”最早可能于5-7月落户韩国。此前，在韩国媒体爆出乐天还在犹豫是否为“萨德”部署提供用地后，中国网友纷纷留言表示 ​,2017-03-02 20:28:17,插件标注,http://weibo.com/6083184778/ExXS4cOJd,勃兰lama登堡门,-1,男,插件,普通用户,原创,,,,,
两分钟，看清乐天在中国赚了多少钱～,2017-03-02 20:24,360安全浏览器,http://weibo.com/1228945514/ExXQEaM21,博言哲理,447333,男,四川 绵阳,名人认证,转发,"两分钟，看清乐天在中国赚了多少钱～乐天正式决定为韩国部署萨德供地，意味着萨德最大难题已解决，萨德真的要来了？
#乐天支持部署萨德##韩国部署萨德# http://t.cn/RixyoiV . ​",关注我✌Android,2017-03-02 17:27,心中有炮自然嗨,http://weibo.com/3137870107/ExWGPqzof
把矛头对准韩国乐天：想想好像哪里不对啊 http://t.cn/RixqUGW ​,2017-03-02 20:20,ZAKER新闻杂志,http://weibo.com/1884245222/ExXOQsrKG,ZAKER新闻频道,12689,男,广东,网站认证,原创,,,,,
抵制乐天前，请一定先看这篇文章！ http://t.cn/RixfdtZ ​,2017-03-02 20:19,ZAKER新闻杂志,http://weibo.com/1884245222/ExXOkigsf,ZAKER新闻频道,12689,男,广东,网站认证,原创,,,,,
东北的兄弟，小心！[吃惊]//@胖子0641: 送他们去抢乐天的超市啊！[哈哈],2017-03-02 20:19,360安全浏览器,http://weibo.com/1688266307/ExXOxzRBR,冷夜烈猫,7989,男,广东 中山,普通用户,转发,"抵制乐天的快回去，家里来客人了。

『韩联网 - Mobile』http://t.cn/RiMgy0L ​",华为Ascend Mate2,2017-03-02 15:04,林奇视角,http://weibo.com/1289953300/ExVKI9cGL
以后辣条，我只吃卫龙[喵喵],2017-03-02 20:18,iPhone 6,http://weibo.com/1627368503/ExXNZzTEK,Max-Luenyu,630,男,广东 广州,普通用户,转发,【民族的终归是民族的 “辣条界扛把子”宣布退出乐天超市】有网友爆料：武汉乐天玛特内卫龙辣条全部撤柜，“一根辣条都不给乐天留”。@卫龙食品 1日称，传闻除地点有误外其他均属实，目前已撤架的乐天玛特为江苏盐城，不过全国范围乐天玛特渠道已按程序陆续下架，今后将不再与乐天合作。 ​,新媒体聚合平台,2017-03-02 08:52,人民日报,http://weibo.com/2803301701/ExTjEhKZP
【安徽芜湖查处“乐天玛特”非法设置无线电台】2月28日下午，芜湖无线电管理处技术人员监测到一组未经批准的异常信号，确定为非法信号，经查，芜湖中央城商业区乐天玛特超市中央城店非法设台，芜湖无线电管理处根据《中国人民共和国无线电管理条例》，对该店作出没收全部30台无线电发射设备和罚款2万元...全文： http://m.weibo.cn/1142648704/4080946485430361 ​,2017-03-02 20:15,微博 weibo.com,http://weibo.com/1142648704/ExXMQmMGt,鲁国平先生,524722,男,上海 黄浦区,名人认证,原创,,,,,
转发微博,2017-03-02 20:13,,http://weibo.com/1083015650/ExXM7apJE,图宾根木匠,148655,男,北京 朝阳区,名人认证,转发,【做一个理性守法的爱国网民】近日在个别地方出现少数以抵制乐天为名的不理性行为，在此南通警方呼吁：请广大市民理性爱国，切勿做出不理性甚至违法行为。对于各种违法犯罪，警方将予以严肃查处。 ​,HUAWEI Mate 8,2017-03-02 15:07,南通公安,http://weibo.com/1805087952/ExVLMmphV
突然想起了各个乐天榜单里的漏网之鱼：景德镇大名鼎鼎的乐天陶社！专门做各种手工杯子的。 ​,2017-03-02 20:11,iPhone 6 Plus,http://weibo.com/1498075523/ExXLnDrmf,王恺同学,76479,男,北京 朝阳区,名人认证,原创,,,,,
我喜欢[doge],2017-03-02 20:11,iPhone 6s,http://weibo.com/2562519000/ExXLp9Vdp,白桃WHITE,7583,女,广东 汕头,普通用户,转发,【民族的终归是民族的 “辣条界扛把子”宣布退出乐天超市】有网友爆料：武汉乐天玛特内卫龙辣条全部撤柜，“一根辣条都不给乐天留”。@卫龙食品 1日称，传闻除地点有误外其他均属实，目前已撤架的乐天玛特为江苏盐城，不过全国范围乐天玛特渠道已按程序陆续下架，今后将不再与乐天合作。 ​,新媒体聚合平台,2017-03-02 08:52,人民日报,http://weibo.com/2803301701/ExTjEhKZP
//@月湖无人区:嗯哼，已经有了顶杠子乐天和扛把子辣条，得想想还少些神马角色上场了。[二哈],2017-03-02 20:10,华为P8,http://weibo.com/1708242847/ExXKEqNyy,刘力博士,661003,男,北京 海淀区,名人认证,转发,任何时候，通过大量官媒，煽动政治素养和思辨能力欠缺的普通民众的极端情绪，都是极其危险的。何况压根不能阻止萨德的部署，走国不是一般的蠢 ​,HUAWEI nova手机,2017-03-02 14:32,草鱼子四世,http://weibo.com/2597930642/ExVxtjG7d
//@wang840545468:睿智的三胖在同下一个马蜂窝后，能把某大国玩弄于股掌之间，把朝美日韩矛盾迅即转移成“某大国美日韩”的问题！某大国还为其背书，想想也是醉了！,2017-03-02 20:10,华为P8,http://weibo.com/1708242847/ExXL2mx5F,刘力博士,661003,男,北京 海淀区,名人认证,转发,一个现实的困境是，中国被意识形态绑架，在外交政策上进退失据，左右为难。明明知道最大的现实威胁是朝鲜，但还是不得不将其放在“不能垮”的位置上，美国不能惹，韩国要招惹起来缺乏抓手，但又不能丧权辱国，最后只能将目标锁定在乐天，将对抗的任务转移给“民意”，政府不公然制裁，任凭民粹宣泄愤怒 ​,微博 weibo.com,2017-03-02 01:50,深夜一只猫,http://weibo.com/1443266094/ExQyaavQh
小伙伴没少下功夫啊。【实地探访丨卖场空了！中国老百姓抵制乐天，看来这次是玩真的】http://t.cn/RixaGIa ​,2017-03-02 20:06,iPhone 6,http://weibo.com/1496813162/ExXJitORL,范锋,85666,男,北京 丰台区,名人认证,原创,,,,,
大家快救救我的孩子，算了，不救了，我自己用卫生纸擦吧。,2017-03-02 20:04,iPhone 7,http://weibo.com/1341625643/ExXInsJBq,9月27号,21998,女,吉林 长春,高级达人,转发,【民族的终归是民族的 “辣条界扛把子”宣布退出乐天超市】有网友爆料：武汉乐天玛特内卫龙辣条全部撤柜，“一根辣条都不给乐天留”。@卫龙食品 1日称，传闻除地点有误外其他均属实，目前已撤架的乐天玛特为江苏盐城，不过全国范围乐天玛特渠道已按程序陆续下架，今后将不再与乐天合作。 ​,新媒体聚合平台,2017-03-02 08:52,人民日报,http://weibo.com/2803301701/ExTjEhKZP
韩国乐天集团周二宣布与韩国国防部达成换地协议，继续推进萨德反导系统部署，这在中国产生了什么影响，我们一起来听听中国人，在中国的韩国人和英国人怎么说？http://t.cn/RixILpM via GlobalTimes ​,2017-03-02 20:02,360安全浏览器,http://weibo.com/1686546714/ExXHrxkvh,环球网,4964604,女,北京 朝阳区,媒体认证,原创,,,,,
【乐天为“萨德”让地，成都乐天百货遇冷空无一人！】成都消费者持什么态度？小编探访发现，乐天百货成都门店内生意并不好，不少区域空无一人，可以说是门可罗雀、略显萧条，不少市民和顾客直呼“不会再到乐天集团旗下门店购物消费”～你怎么看？ ​,2017-03-02 20:02,iPhone 6,http://weibo.com/1726211047/ExXHxaoBm,潮成都,205880,女,四川,企业认证,原创,,,,,
辣条、化妆品、平台 商家纷纷与乐天撕裂 http://t.cn/RixPKu8 ​,2017-03-02 20:01,ZAKER新闻杂志,http://weibo.com/1884245222/ExXH7f2o6,ZAKER新闻频道,12689,男,广东,网站认证,原创,,,,,
小粉红和五毛们可以抵制全世界，与天斗，与地斗，其乐无穷[嘻嘻],2017-03-02 20:01,iPhone 6s Plus,http://weibo.com/1685479704/ExXH8nxtv,田亮地盘,18313,男,吉林 长春,名人认证,转发,【那些年我们一起抵制过的洋货和外企】随着乐天让地“萨德”，中国的反对和抗议声越来越激烈。“爱国人士”抵制的黑名单上，日本一直都是冠军。外企在中国获得巨大利润，但同时也应该考虑中国人民的感情。如果做出罔顾中国国家安全和利益的事，那中国消费者有权利拒绝自己讨厌的。http://t.cn/RiIfnn1 ​,微博 weibo.com,2017-03-01 21:47,中国之声,http://weibo.com/1699540307/ExOXKg0fR
【全民抵制韩国乐天，古天乐，白居易却莫名躺枪！日本乐天声明也没用】爱国需理智，架起意大利炮后，看清目标再发射，冤有头债有主，千万别误伤吃瓜群众，更不要误伤友军！至于日本乐天嘛，管他有没有关系，既然姓日，一并抵制了得了！http://t.cn/RiM8B8W ​,2017-03-02 20:00,投资界,http://weibo.com/1774800467/ExXGHbnWL,投资界微博,458655,男,北京,企业认证,原创,,,,,
转发微博,2017-03-02 20:00,iPhone 6s,http://weibo.com/1797519040/ExXGNn5vB,写字李华良,64066,男,北京 海淀区,名人认证,转发,【部署“萨德”，韩国民众真的同意吗】随着乐天集团卷入“萨德”部署进程，意味着一旦闯过了选址问题这一关，“萨德”落地节奏将大大加快。那么韩国民众到底是怎么想的？在中美之间有着怎样的评价和选择？看到最后，你会发现其实部分韩国人的看法和建议还是比较理性的。http://t.cn/RiqR5V2 via...全文： http://m.weibo.cn/1806128454/4080165875858328 ​,微博 weibo.com,2017-02-28 16:33,凤凰视频,http://weibo.com/1806128454/ExDtNoA1a
